j1,j2,U
25,10,0.399098
25,11,2.243233
25,12,0.893644
25,13,0.893644
25,14,2.243233
25,15,0.399098
25,16,1.957649
25,17,0.596939
25,18,1.087756
25,19,1.623776
25,20,0.563687
25,21,2.196396
25,22,0.630904
25,23,0.973715
25,24,1.126615
25,26,1.866596
25,27,0.846232
25,28,1.027121
25,29,1.251783
25,30,0.651827
26,1,1.866596
26,2,0.000000
26,3,1.594879
26,4,0.000000
26,5,1.665530
26,6,1.888528
26,7,0.000000
26,8,1.422341
26,9,0.000000
26,10,2.091192
26,11,1.706178
26,12,0.000000
26,13,1.148345
26,14,0.000000
26,15,1.706178
26,16,2.091192
26,17,0.000000
26,18,1.422341
26,19,0.000000
26,20,1.888528
26,21,1.665530
26,22,0.000000
26,23,1.594879
26,24,0.000000
26,25,1.866596
26,27,0.000000
26,28,1.261765
26,29,0.000000
26,30,1.907308
27,1,0.000000
27,2,0.846232
27,3,0.836585
27,4,1.388250
27,5,0.936975
27,6,0.000000
27,7,1.054807
27,8,1.289403
27,9,1.356421
27,10,0.591214
27,11,0.000000
27,12,0.885258
27,13,1.602642
27,14,1.602642
27,15,0.885258
27,16,0.000000
27,17,0.591214
27,18,1.356421
27,19,1.289403
27,20,1.054807
27,21,0.000000
27,22,0.936975
27,23,1.388250
27,24,0.836585
27,25,0.846232
27,26,0.000000
27,28,1.525409
27,29,1.327900
27,30,0.860487
28,1,1.525409
28,2,1.261765
28,3,1.027121
28,4,0.000000
28,5,0.774676
28,6,1.732548
28,7,0.962306
28,8,1.022074
28,9,0.000000
28,10,1.073718
28,11,1.601644
28,12,1.145776
28,13,1.139014
28,14,0.000000
28,15,1.139014
28,16,1.145776
28,17,1.601644
28,18,1.073718
28,19,0.000000
28,20,1.022074
28,21,0.962306
28,22,1.732548
28,23,0.774676
28,24,0.000000
28,25,1.027121
28,26,1.261765
28,27,1.525409
28,29,0.000000
28,30,0.783318
29,1,0.000000
29,2,1.327900
29,3,0.000000
29,4,1.251783
29,5,1.767875
29,6,0.000000
29,7,1.485015
29,8,0.000000
29,9,1.819611
29,10,1.735592
29,11,0.000000
29,12,1.399501
29,13,0.000000
29,14,2.183097
29,15,2.183097
29,16,0.000000
29,17,1.399501
29,18,0.000000
29,19,1.735592
29,20,1.819611
29,21,0.000000
29,22,1.485015
29,23,0.000000
29,24,1.767875
29,25,1.251783
29,26,0.000000
29,27,1.327900
29,28,0.000000
29,30,1.818386
30,1,1.818386
30,2,0.783318
30,3,0.860487
30,4,1.907308
30,5,0.651827
30,6,1.757445
30,7,0.831700
30,8,0.952835
30,9,1.570357
30,10,0.576743
30,11,2.178222
30,12,1.017716
30,13,0.817811
30,14,1.552690
30,15,0.619294
30,16,1.552690
30,17,0.817811
30,18,1.017716
30,19,2.178222
30,20,0.576743
30,21,1.570357
30,22,0.952835
30,23,0.831700
30,24,1.757445
30,25,0.651827
30,26,1.907308
30,27,0.860487
30,28,0.783318
30,29,1.818386
